t,S,I,R,D,beta,gamma,mu,R0
173.0,5765800.0,-2.729004,53084.51,3266.5854,0.020047206,0.030074343,0.0001448229,0.6633938
174.0,5765800.0,-2.6894531,53084.41,3266.588,0.020041484,0.030074384,0.00014479758,0.6632041
175.0,5765800.0,-2.6489258,53084.312,3266.5903,0.020035822,0.030074427,0.00014477267,0.6630163
176.0,5765800.0,-2.6088867,53084.21,3266.5928,0.020030228,0.030074468,0.0001447482,0.6628308
177.0,5765800.0,-2.5703125,53084.113,3266.5955,0.02002469,0.030074513,0.00014472421,0.6626471
178.0,5765800.0,-2.5327148,53084.02,3266.5981,0.020019222,0.030074555,0.00014470067,0.66246575
179.0,5765800.0,-2.4951172,53083.92,3266.601,0.020013805,0.0300746,0.00014467754,0.66228604
180.0,5765800.0,-2.456543,53083.83,3266.6042,0.02000847,0.030074647,0.0001446549,0.66210896
181.0,5765800.0,-2.4208984,53083.734,3266.6074,0.020003185,0.030074693,0.00014463268,0.66193354
182.0,5765800.0,-2.3842773,53083.645,3266.6108,0.01999797,0.03007474,0.00014461095,0.6617604
183.0,5765800.0,-2.3486328,53083.55,3266.6143,0.019992806,0.030074788,0.00014458962,0.6615889
184.0,5765800.0,-2.3134766,53083.46,3266.6177,0.019987714,0.030074839,0.00014456874,0.66141975
185.0,5765800.0,-2.2788086,53083.375,3266.6213,0.019982684,0.030074887,0.0001445483,0.66125274
186.0,5765800.0,-2.2441406,53083.285,3266.6252,0.019977719,0.03007494,0.00014452836,0.6610877
187.0,5765800.0,-2.209961,53083.195,3266.6292,0.019972812,0.03007499,0.00014450878,0.6609247
188.0,5765800.0,-2.1762695,53083.113,3266.6333,0.019967968,0.030075043,0.00014448968,0.6607636
189.0,5765800.0,-2.1435547,53083.027,3266.6375,0.019963188,0.030075096,0.00014447102,0.6606047
190.0,5765800.0,-2.1108398,53082.94,3266.6418,0.019958472,0.03007515,0.00014445282,0.66044784
191.0,5765800.0,-2.0791016,53082.863,3266.6462,0.019953817,0.030075205,0.00014443502,0.660293
