t,S,I,R,D,beta,gamma,mu,R0
221.0,5833199.5,0.37695312,25191.045,2271.6938,0.011610372,0.030131327,0.00016181613,0.38326734
222.0,5833199.5,0.38330078,25191.037,2271.6958,0.011609294,0.030130994,0.00016147803,0.38324025
223.0,5833199.5,0.390625,25191.03,2271.6978,0.011608233,0.030130662,0.00016114266,0.38321364
224.0,5833199.5,0.3984375,25191.021,2271.6995,0.011607185,0.030130332,0.00016081003,0.38318744
225.0,5833199.5,0.40576172,25191.014,2271.7014,0.011606155,0.030130006,0.00016048003,0.38316172
226.0,5833199.5,0.4116211,25191.01,2271.7031,0.011605141,0.030129682,0.00016015273,0.38313648
227.0,5833199.5,0.4189453,25191.002,2271.705,0.01160414,0.03012936,0.00015982815,0.3831116
228.0,5833199.5,0.42626953,25190.992,2271.7065,0.011603155,0.03012904,0.00015950613,0.38308725
229.0,5833199.5,0.4326172,25190.986,2271.7085,0.0116021875,0.030128721,0.00015918675,0.38306335
230.0,5833199.5,0.4399414,25190.979,2271.7102,0.011601233,0.030128404,0.00015886991,0.38303983
231.0,5833199.5,0.44628906,25190.97,2271.712,0.011600295,0.030128092,0.00015855567,0.38301682
232.0,5833199.5,0.45361328,25190.963,2271.7136,0.011599372,0.030127779,0.0001582439,0.38299423
233.0,5833199.5,0.4609375,25190.955,2271.715,0.011598465,0.03012747,0.00015793474,0.3829721
234.0,5833199.5,0.46777344,25190.945,2271.7168,0.011597572,0.030127162,0.00015762799,0.38295037
235.0,5833199.5,0.47509766,25190.938,2271.7183,0.011596695,0.030126857,0.00015732372,0.38292912
236.0,5833199.5,0.4814453,25190.93,2271.72,0.011595831,0.030126553,0.00015702186,0.38290828
237.0,5833199.5,0.49072266,25190.924,2271.7217,0.011594984,0.030126251,0.00015672245,0.38288787
238.0,5833199.5,0.4970703,25190.916,2271.7234,0.011594151,0.030125951,0.00015642542,0.38286793
239.0,5833199.5,0.50341797,25190.908,2271.7246,0.0115933325,0.030125653,0.00015613077,0.3828484
240.0,5833199.5,0.51123047,25190.898,2271.726,0.01159253,0.030125357,0.0001558385,0.38282934
241.0,5833199.5,0.5175781,25190.89,2271.7275,0.011591742,0.030125063,0.00015554852,0.3828107
242.0,5833199.5,0.5258789,25190.883,2271.7292,0.011590967,0.030124772,0.00015526084,0.3827924
243.0,5833199.5,0.53271484,25190.875,2271.7305,0.011590207,0.030124482,0.00015497548,0.3827746
244.0,5833199.5,0.54003906,25190.867,2271.732,0.011589462,0.030124195,0.00015469237,0.3827572
245.0,5833199.5,0.54785156,25190.86,2271.7334,0.011588733,0.030123908,0.00015441152,0.3827403
246.0,5833199.5,0.5566406,25190.854,2271.7346,0.0115880165,0.030123625,0.00015413288,0.38272375
247.0,5833199.5,0.5629883,25190.846,2271.736,0.011587314,0.030123342,0.00015385644,0.38270763
248.0,5833199.5,0.5708008,25190.834,2271.7375,0.011586627,0.030123062,0.0001535822,0.38269192
249.0,5833199.5,0.5786133,25190.826,2271.7388,0.011585955,0.030122783,0.00015331013,0.38267666
250.0,5833199.5,0.58496094,25190.822,2271.74,0.011585295,0.030122507,0.00015304016,0.3826618
251.0,5833199.5,0.59521484,25190.812,2271.7415,0.01158465,0.030122232,0.00015277234,0.38264734
252.0,5833199.5,0.6020508,25190.807,2271.7427,0.011584019,0.03012196,0.00015250663,0.38263333
253.0,5833199.5,0.61083984,25190.797,2271.744,0.011583402,0.030121688,0.000152243,0.38261968
254.0,5833199.5,0.61621094,25190.79,2271.745,0.0115828,0.03012142,0.00015198143,0.3826065
255.0,5833199.5,0.6269531,25190.781,2271.746,0.011582211,0.030121151,0.00015172192,0.3825937
256.0,5833199.5,0.6333008,25190.773,2271.7476,0.011581636,0.030120887,0.00015146442,0.38258132
257.0,5833199.5,0.64160156,25190.764,2271.7488,0.0115810735,0.030120622,0.00015120895,0.3825693
258.0,5833199.5,0.64941406,25190.758,2271.7498,0.011580527,0.03012036,0.00015095549,0.38255775
259.0,5833199.5,0.65966797,25190.748,2271.751,0.011579993,0.0301201,0.00015070399,0.38254657
260.0,5833199.5,0.6665039,25190.74,2271.752,0.011579472,0.030119842,0.00015045442,0.3825358
261.0,5833199.5,0.6748047,25190.734,2271.753,0.011578965,0.030119585,0.00015020682,0.3825254
262.0,5833199.5,0.68310547,25190.727,2271.7542,0.011578471,0.03011933,0.0001499611,0.38251543
263.0,5833199.5,0.6923828,25190.719,2271.7551,0.011577992,0.030119076,0.00014971729,0.3825059
264.0,5833199.5,0.6977539,25190.71,2271.756,0.011577525,0.030118825,0.00014947538,0.3824967
